Enemy,Level,First Words,Last Words
Beatrice,1,Well[;] if it isn't another dice!||Or wait[;] if it's only one of you[;]|is it 'douse'?|That sounds right. Anyway[;] welcome|to defeat[;] douse.,
Beatrice,2,Welcome to the end of your journey!|Prepare to douse!,
Beatrice,3,Hey[;] I looked it up and apparently 'douse' ISN'T the|singular of dice after all!||In modern usage 'dice' is both singular|and plural. Isn't that sweet!||Now: prepare to dice.,
Beatrice,4,Oh[;] sweetie[;] really? You're here to fight me again?|That is... so adorable.,
Beatrice,5,Oh[;] it's another dice!||Adorable! Which one are you?||No[;] don't tell me[;] I'm not going to remember[;]|honestly I was only asking to be polite.,
Beatrice,6,Oh hello there! I've been thinking about what to|say if you turned up again.||I was workshopping something around 'DICE-truction'[;]|but then I got bored of thinking about you.,
Beatrice,7,You again! You might trick me once[;] but I|won't let you trick me[;] dice.,
Beatrice,8,Welcome back[;] sweetie. Time to dice with death?|Hmm[;] no[;] just time to death some dice I think.,
Madison,1,Hi[;] I'm Madison! I'm 12 years old and I'm|here to make sure you lose!,
Madison,2,What[;] you're not even going to buy any cookies?||That's super rude!,
Madison,3,Hi! I'm Madison[;] and I only have one more fight to win|before I qualify for my 'Beating Dice Easily In|Boss Fights' badge!,
Madison,4,Hey! I'm Madison[;] and I'm going to grow up|to be like Lady Luck!||...and in the meantime[;] I'm going to make|your day REALLY MISERABLE!,
Madison,5,Oh HELLO! I was just writing in my diary and I|didn't have much to say about today...||But BEATING YOU TERRIBLY in a fight is|going to make a GREAT entry!,
Madison,6,Honestly it's SO rude of you to keep trying to beat us|all like this when it's CLEAR you're never going|to get your heart's desire.,
Madison,7,Hello! Would you like to buy some cookies?||Or would you rather I beat you in a big ol' fight?||Never mind[;] I know which one I'M in the mood for...,
Madison,8,Before I came down to the dungeons I used|to get told off for fighting.||Now I'm the boss of a whole episode! So LET'S FIGHT.,
Buster,1,Oh! Hello! Are you here to fight? Let's fight!||Who's a good fighter? I'm a good fighter!,
Buster,2,Oh! Is it time for more fighting? I love fighting! Let's go!,
Buster,3,Oh! I was asleep! But I can be awake!||Hello! Hello! I'm awake! Let's fight!,
Buster,4,Oh! I was sleeping again!||It's so weird that you always come when I'm asleep!||Oh or maybe it's because I'm ALWAYS asleep?|Anyway[;] let's fight!,
Buster,5,You're a dice! Hello! Hello! I love meeting dice!||DID YOU KNOW that DICE rhymes with NICE?||Maybe that's why you're a dice AND nice!|Let's fight!,
Buster,6,Oh! Hey! Do you like sleeping or fighting more?||MY favourite thing is to fight IN MY DREAMS[;]|so I can do both at once!,
Buster,7,Hey! Hey! It's me! I'm a good fighter!||Are you a good fighter? Let's find out!,
Buster,8,Oh! Is it time for a nap or a fight?||I know! Let's have a fight and THEN a nap!,
Buster,9,Oh! Oh! There's someone at the trapdoor! Quick!||Oh it's okay[;] it was you!||Are you here for a fight? I'm ready!,
Drake,1,Yeah okay then[;] let's fight. I told everyone to go easy on you[;]|you know[;] I wanted to take you out myself.,
Drake,2,I've got to fight a walking dice?||I'm FOUR HUNDRED and SEVENTY SIX years old.||This is entirely beneath my dignity. But|I guess let's get it over with.,
