Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
[BEGIN ESSENTIALS],,1,,,,,,,,,,0,NO,NO,internal|excludefromrandomlists,,,,,,,,,,,,
Robot Calculate,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Inventor Gadgets,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,if(self.getvar(~consumerismusedever~)) { var skillamt = 0; var fillerpassed = false; var i = e.skills.length - 1; while(i > -1) { if(e.skills[i].name != ~Broken Gadget~ # fillerpassed) { fillerpassed = true; skillamt++; } i--; } e.height = 468 + ((skillamt - 1) * 270); /*tHERE ARE TWO BUGS IN PLAY: A BUG WHERE SKILLCARD ISN'T RESCALED PROPERLY TO ACCOUNT FOR MORE GADGETS; AND A BUG WHERE IT JUST YEETS INVISIBLE BROKEN GADGET(S) INTO YOUR SKILLS ARRAY IF YOU DO RULES.INVENTOR_SETGADGETS(2) AFTER HAVING ANY HIGHER AMOUNT OF GADGETS. tHIS BREAKS IF YOU HAVE SOME WACKY EQUIPMENT WHOSE GADGET IS BROKEN GADGET; OR AN EQUIPMENT WITH NO GADGET; BUT FUCK IT*/ self.resetvar(~consumerismused~); } self.setvar(~underwhelm~[;]5); self.setvar(~invgadgets_eqsused~[;]0); self.setvar(~invgadgets_eqsused_display~[;]0); /*var goldgadgets = loadtext(~gadgetsthatshowgold~); for(skill in self.getskillcard().skills) if(goldgadgets.indexOf(skill.name) != -1) self.getskillcard().addtag(~showgold~); */ for(skill in self.getskillcard().skills) if(skill.script.indexOf(self.gold) != -1) self.getskillcard().addtag(~showgold~); self.setvar(~ncr_briefcase~[;]rand(getequipmentlist(null[;][][;][~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~[;]~onceperbattle~[;]~alternateversion~])));,if(self.getvar(~consumerismusedever~)) { if(self.getvar(~consumerismused~) == 0) { Rules.inventor_setgadgets(2); } else { Rules.inventor_setgadgets(self.getvar(~consumerismused~)); } } /*while(self.getvar(~giveblades~) > 0) { giveequipment(~Everblade~); self.setvar(~giveblades~[;]self.getvar(~giveblades~) - 1); }*/ self.setvar(~invgadgets_eqsused~[;]0); self.setvar(~invgadgets_eqsused_display~[;]0); self.getskillcard().removetag(~showgold~);,var e = self.getskillcard(); /*while(self.getvar(~giveblades~) > 0) { giveequipment(~Everblade~[;]true[;]false); self.setvar(~giveblades~[;]self.getvar(~giveblades~) - 1); } while(self.getvar(~givebladesplus~) > 0) { giveequipment(~Everblade+~[;]true[;]false); self.setvar(~givebladesplus~[;]self.getvar(~givebladesplus~) - 1); }*/ self.setvar(~phillip~[;]false); self.setvar(~grolluses~[;]3); self.setvar(~smashuses~[;]3); for(myskill in e.skills) { if(myskill.name == ~Gadget Roll~) { myskill.description = ~Reroll a dice (uses: 3)~; } if(myskill.name == ~Mirror Smash~) { myskill.description = ~-3 [heart][][;] get dice (uses: 3)~; } } /* for(myskill in e.skills) { if(myskill.name == ~Emulator~) { self.setvar(~emulatorchange~[;]e.skills.indexOf(myskill)); } } */ if(self.equipment.length > 0) { for(eq in self.equipment) { if(eq.script.split(~Gadget.reactivate(self[;] ALL);~).length > 1) { eq.script = eq.script.split(~Gadget.reactivate(self[;] ALL);~).join(~Gadget.reactivate(self[;]ALL); for(myskill in self.getskillcard().skills) { if(myskill.name == \~Gadget Roll\~) { self.setvar(\~grolluses\~[;]self.getvar(\~grolluses\~) + 1); var a = \~\~ + self.getvar(\~grolluses\~); trace(a); var b = \~\~ + (self.getvar(\~grolluses\~) - 1); trace(b); var m = myskill.description.split(b); trace(m); myskill.description = m.join(a); } if(myskill.name == \~Mirror Smash\~) { self.setvar(\~smashuses\~[;]self.getvar(\~smashuses\~) + 1); var a = \~\~ + self.getvar(\~smashuses\~); trace(a); var b = \~\~ + (self.getvar(\~smashuses\~) - 1); trace(b); var m = myskill.description.split(b); trace(m); myskill.description = m.join(a); if(myskill.description.split(\~-4 [\~).length > 1) { myskill.description = myskill.description.split(\~-4 [\~).join(\~-3 [\~); } } }~); } } } self.setvar(~invgadgets_eqsused~[;]0); self.setvar(~invgadgets_eqsused_display~[;]0);,var docursesfx = false; var doflashnshake = false; for(myskill in e.skills) { if(myskill.description.indexOf(~[sword]7 dmg (passive: get [curse]1[])~) != -1) { docursesfx = true; doflashnshake = true; inflictself(CURSE); } } if(self.limitbreak.description.indexOf(~[sword]7 dmg (passive: get [curse]1[])~) != -1) { docursesfx = true; inflictself(CURSE); } if(docursesfx) sfx(~_curse~); if(doflashnshake) e.animate(~flashandshake~);,if(self.hasstatus(~ncr_lessfluff~)) { removestatusself(~ncr_lessfluff~); } self.setvar(~invgadgets_eqsused~[;]self.getvar(~invgadgets_eqsused~) + 1); if(self.getvar(~invgadgets_eqsused~) % 2 == 0) { self.setvar(~invgadgets_eqsused_display~[;]self.getvar(~invgadgets_eqsused_display~) + 1); },,/*if(target.hp <= 0 && self.layout == ~DECK~) { self.setvar(~equipmenttoscrap~[;]self.equipment); }*/ for(eq in self.equipment) if(eq.hastag(~preservesgadget~)) eq.gadget = Gadget.getcurrentgadget(self);,,,,
Thief Stolen Card,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Witch Spellbook,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,if(self.getvar(~unusedmana~) > 0){ inflictself(MANA[;]self.getvar(~unusedmana~)); self.setvar(~unusedmana~[;]0); } self.setvar(~spellbook1unavailable~[;]0); self.setvar(~spellbook2unavailable~[;]0); self.setvar(~spellbook3unavailable~[;]0);,self.setvar(~spellbook1unavailable~[;]0); self.setvar(~spellbook2unavailable~[;]0); self.setvar(~spellbook3unavailable~[;]0); if(self.gamevar.exists(~upgradecastactuator~)) self.getvar(~upgradecastactuator~)._repeat = 0; self.resetvar(~upgradecastactuator~); self.resetvar(~upgradecastx~); self.resetvar(~upgradecasty~); if(self.gamevar.exists(~shockcastactuator~)) self.getvar(~shockcastactuator~)._repeat = 0; self.resetvar(~shockcastactuator~); self.resetvar(~shockcastx~); self.resetvar(~shockcasty~); if(self.gamevar.exists(~weakencastactuator~)) self.getvar(~weakencastactuator~)._repeat = 0; self.resetvar(~weakencastactuator~); self.resetvar(~weakencastx~); self.resetvar(~weakencasty~);,if(self.getvar(~spellbook1unavailable~) > 0) self.setvar(~spellbook1unavailable~[;]self.getvar(~spellbook1unavailable~) - 1); if(self.getvar(~spellbook2unavailable~) > 0) self.setvar(~spellbook2unavailable~[;]self.getvar(~spellbook2unavailable~) - 1); if(self.getvar(~spellbook3unavailable~) > 0) self.setvar(~spellbook3unavailable~[;]self.getvar(~spellbook3unavailable~) - 1); if(self.getvar(~spellbook~+self.getvar(~currentspellbook~)+~unavailable~) > 0){ e.availablethisturn = false; if(self.getvar(~currentspellbook~) == 1){ e.unavailabletext = ~First spellbook~; } else if(self.getvar(~currentspellbook~) == 2){ e.unavailabletext = ~Second spellbook~; } else if(self.getvar(~currentspellbook~) == 3){ e.unavailabletext = ~Third spellbook~; } e.unavailabledetails = [~Disabled (~+self.getvar(~spellbook~+self.getvar(~currentspellbook~)+~unavailable~)+~ turns left)~]; };,,if(self.getvar(~spellbook~+self.getvar(~currentspellbook~)+~unavailable~) > 0 && e.availablethisturn != false){ e.availablethisturn = false; var ordinalpostfix = ~rd~; if(self.getvar(~currentspellbook~) == 2) ordinalpostfix = ~nd~; if(self.getvar(~currentspellbook~) == 1) ordinalpostfix = ~st~; e.unavailabletext = self.getvar(~currentspellbook~) + ordinalpostfix + ~ spellbook~; e.unavailabledetails = [~Disabled (~+self.getvar(~spellbook~+self.getvar(~currentspellbook~)+~unavailable~)+~ turns left)~]; e.animate(~flashandshake~); } else if(self.getvar(~spellbook~+self.getvar(~currentspellbook~)+~unavailable~) == 0){ e.availablethisturn = true; },,,,,,
Witch Deck,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Jester Deck,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Combat Roll,Reroll a dice|[gray](Reuseable),2,givedice();,Random Roll,NORMAL,,GRAY,,,,,3,YES,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
[END ESSENTIALS],,1,,,,,,,,,,0,NO,NO,internal|excludefromrandomlists,,,,,,,,,,,,
[BEGIN ENEMY EQUIPMENT],,1,,,,,,,,,,0,NO,NO,internal|excludefromrandomlists,,,,,,,,,,,,
